dataset;#TrainingRelease;%Defective in training;%Defective in testing;classifier;balancing;Feature Selection;cost;TP;FP;TN;FN;Precision;Recall;FMeasure;ROC Area;Kappa
BOOKKEEPER;2;44,19;33,44;NAIVEBAYES;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;39,0000;14,0000;193,0000;65,0000;0,7358;0,3750;0,4968;0,6537;0,3501
BOOKKEEPER;2;44,19;33,44;NAIVEBAYES;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;71,0000;42,0000;165,0000;33,0000;0,6283;0,6827;0,6544;0,7851;0,4697
BOOKKEEPER;2;44,19;33,44;NAIVEBAYES;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;22,0000;5,0000;202,0000;82,0000;0,8148;0,2115;0,3359;0,7872;0,2297
BOOKKEEPER;2;44,19;33,44;NAIVEBAYES;SMOTE;NO_SELECTION;NO_COST_SENSITIVE;48,0000;12,0000;195,0000;56,0000;0,8000;0,4615;0,5854;0,7901;0,4510
BOOKKEEPER;2;44,19;33,44;NAIVEBAYES;SMOTE;BEST_FIRST;NO_COST_SENSITIVE;50,0000;16,0000;191,0000;54,0000;0,7576;0,4808;0,5882;0,7733;0,4438
BOOKKEEPER;2;44,19;33,44;NAIVEBAYES;SMOTE;NO_SELECTION;SENSITIVE_THRESHOLD;47,0000;11,0000;196,0000;57,0000;0,8103;0,4519;0,5802;0,6994;0,4481
BOOKKEEPER;2;44,19;33,44;NAIVEBAYES;SMOTE;BEST_FIRST;SENSITIVE_THRESHOLD;38,0000;13,0000;194,0000;66,0000;0,7451;0,3654;0,4903;0,6513;0,3465
BOOKKEEPER;2;44,19;33,44;NAIVEBAYES;SMOTE;NO_SELECTION;SENSITIVE_LEARNING;57,0000;19,0000;188,0000;47,0000;0,7500;0,5481;0,6333;0,8259;0,4890
BOOKKEEPER;2;44,19;33,44;NAIVEBAYES;SMOTE;BEST_FIRST;SENSITIVE_LEARNING;32,0000;10,0000;197,0000;72,0000;0,7619;0,3077;0,4384;0,7920;0,3046
BOOKKEEPER;2;44,19;33,44;IBK;NO_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;73,0000;64,0000;143,0000;31,0000;0,5328;0,7019;0,6058;0,7122;0,3640
BOOKKEEPER;2;44,19;33,44;IBK;NO_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;77,0000;69,0000;138,0000;27,0000;0,5274;0,7404;0,6160;0,7133;0,3699
BOOKKEEPER;2;44,19;33,44;IBK;NO_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;73,0000;64,0000;143,0000;31,0000;0,5328;0,7019;0,6058;0,6964;0,3640
