dataset;#TrainingRelease;%Defective in training;%Defective in testing;classifier;balancing;Feature Selection;cost;TP;FP;TN;FN;Precision;Recall;FMeasure;ROC Area;Kappa
OPENJPA;2;10,22;18,02;IBK;NO_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;88,0000;87,0000;732,0000;92,0000;0,5029;0,4889;0,4958;0,6913;0,3869
OPENJPA;2;10,22;18,02;IBK;NO_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;14,0000;3,0000;816,0000;166,0000;0,8235;0,0778;0,1421;0,5371;0,1146
OPENJPA;2;10,22;18,02;IBK;NO_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;88,0000;87,0000;732,0000;92,0000;0,5029;0,4889;0,4958;0,6913;0,3869
OPENJPA;2;10,22;18,02;IBK;NO_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;14,0000;3,0000;816,0000;166,0000;0,8235;0,0778;0,1421;0,5371;0,1146
OPENJPA;2;10,22;18,02;IBK;NO_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;88,0000;87,0000;732,0000;92,0000;0,5029;0,4889;0,4958;0,6913;0,3869
OPENJPA;2;10,22;18,02;IBK;OVER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;17,0000;3,0000;816,0000;163,0000;0,8500;0,0944;0,1700;0,5520;0,1390
OPENJPA;2;10,22;18,02;IBK;OVER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;89,0000;87,0000;732,0000;91,0000;0,5057;0,4944;0,5000;0,6554;0,3916
OPENJPA;2;10,22;18,02;IBK;OVER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;17,0000;3,0000;816,0000;163,0000;0,8500;0,0944;0,1700;0,5454;0,1390
OPENJPA;2;10,22;18,02;IBK;OVER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;89,0000;87,0000;732,0000;91,0000;0,5057;0,4944;0,5000;0,6941;0,3916
OPENJPA;2;10,22;18,02;IBK;OVER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;23,0000;4,0000;815,0000;157,0000;0,8519;0,1278;0,2222;0,4331;0,1839
