dataset;#TrainingRelease;%Defective in training;%Defective in testing;classifier;balancing;Feature Selection;cost;TP;FP;TN;FN;Precision;Recall;FMeasure;ROC Area;Kappa
BOOKKEEPER;1;38,64;40,45;IBK;SMOTE;NO_SELECTION;SENSITIVE_THRESHOLD;76,0000;89,0000;42,0000;13,0000;0,4606;0,8539;0,5984;0,5873;0,1535
BOOKKEEPER;1;38,64;40,45;IBK;SMOTE;BEST_FIRST;SENSITIVE_THRESHOLD;69,0000;10,0000;121,0000;20,0000;0,8734;0,7753;0,8214;0,8495;0,7118
BOOKKEEPER;1;38,64;40,45;IBK;SMOTE;NO_SELECTION;SENSITIVE_LEARNING;43,0000;5,0000;126,0000;46,0000;0,8958;0,4831;0,6277;0,7293;0,4805
BOOKKEEPER;1;38,64;40,45;IBK;SMOTE;BEST_FIRST;SENSITIVE_LEARNING;0,0000;0,0000;131,0000;89,0000;NaN;0,0000;NaN;0,5565;0,0000
BOOKKEEPER;2;39,65;33,44;RANDOMFOREST;NO_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;83,0000;55,0000;152,0000;21,0000;0,6014;0,7981;0,6860;0,8548;0,4923
BOOKKEEPER;2;39,65;33,44;RANDOMFOREST;NO_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;85,0000;56,0000;151,0000;19,0000;0,6028;0,8173;0,6939;0,8440;0,5023
BOOKKEEPER;2;39,65;33,44;RANDOMFOREST;NO_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;44,0000;12,0000;195,0000;60,0000;0,7857;0,4231;0,5500;0,6826;0,4125
BOOKKEEPER;2;39,65;33,44;RANDOMFOREST;NO_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;47,0000;20,0000;187,0000;57,0000;0,7015;0,4519;0,5497;0,6777;0,3898
BOOKKEEPER;2;39,65;33,44;RANDOMFOREST;NO_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;52,0000;12,0000;195,0000;52,0000;0,8125;0,5000;0,6190;0,8572;0,4888
BOOKKEEPER;2;39,65;33,44;RANDOMFOREST;NO_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;55,0000;21,0000;186,0000;49,0000;0,7237;0,5288;0,6111;0,8515;0,4581
BOOKKEEPER;2;39,65;33,44;RANDOMFOREST;OVER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;86,0000;65,0000;142,0000;18,0000;0,5695;0,8269;0,6745;0,8475;0,4611
BOOKKEEPER;2;39,65;33,44;RANDOMFOREST;OVER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;87,0000;71,0000;136,0000;17,0000;0,5506;0,8365;0,6641;0,8430;0,4371
BOOKKEEPER;2;39,65;33,44;RANDOMFOREST;OVER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;36,0000;11,0000;196,0000;68,0000;0,7660;0,3462;0,4768;0,6465;0,3393
BOOKKEEPER;2;39,65;33,44;RANDOMFOREST;OVER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;42,0000;14,0000;193,0000;62,0000;0,7500;0,4038;0,5250;0,6681;0,3798
BOOKKEEPER;2;39,65;33,44;RANDOMFOREST;OVER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;54,0000;26,0000;181,0000;50,0000;0,6750;0,5192;0,5870;0,8279;0,4176
BOOKKEEPER;2;39,65;33,44;RANDOMFOREST;OVER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;66,0000;52,0000;155,0000;38,0000;0,5593;0,6346;0,5946;0,7952;0,3710
BOOKKEEPER;2;39,65;33,44;RANDOMFOREST;UNDER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;88,0000;66,0000;141,0000;16,0000;0,5714;0,8462;0,6822;0,8521;0,4710
BOOKKEEPER;2;39,65;33,44;RANDOMFOREST;UNDER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;88,0000;77,0000;130,0000;16,0000;0,5333;0,8462;0,6543;0,8377;0,4138
BOOKKEEPER;2;39,65;33,44;RANDOMFOREST;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;45,0000;15,0000;192,0000;59,0000;0,7500;0,4327;0,5488;0,6801;0,4026
BOOKKEEPER;2;39,65;33,44;RANDOMFOREST;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;48,0000;23,0000;184,0000;56,0000;0,6761;0,4615;0,5486;0,6752;0,3805
BOOKKEEPER;2;39,65;33,44;RANDOMFOREST;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;80,0000;56,0000;151,0000;24,0000;0,5882;0,7692;0,6667;0,8287;0,4632
BOOKKEEPER;2;39,65;33,44;RANDOMFOREST;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;86,0000;76,0000;131,0000;18,0000;0,5309;0,8269;0,6466;0,8280;0,4038
BOOKKEEPER;2;39,65;33,44;RANDOMFOREST;SMOTE;NO_SELECTION;NO_COST_SENSITIVE;84,0000;68,0000;139,0000;20,0000;0,5526;0,8077;0,6563;0,8501;0,4298
BOOKKEEPER;2;39,65;33,44;RANDOMFOREST;SMOTE;BEST_FIRST;NO_COST_SENSITIVE;87,0000;74,0000;133,0000;17,0000;0,5404;0,8365;0,6566;0,8402;0,4216
BOOKKEEPER;2;39,65;33,44;RANDOMFOREST;SMOTE;NO_SELECTION;SENSITIVE_THRESHOLD;51,0000;13,0000;194,0000;53,0000;0,7969;0,4904;0,6071;0,7138;0,4728
BOOKKEEPER;2;39,65;33,44;RANDOMFOREST;SMOTE;BEST_FIRST;SENSITIVE_THRESHOLD;54,0000;24,0000;183,0000;50,0000;0,6923;0,5192;0,5934;0,7016;0,4300
BOOKKEEPER;2;39,65;33,44;RANDOMFOREST;SMOTE;NO_SELECTION;SENSITIVE_LEARNING;40,0000;16,0000;191,0000;64,0000;0,7143;0,3846;0,5000;0,8458;0,3472
BOOKKEEPER;2;39,65;33,44;RANDOMFOREST;SMOTE;BEST_FIRST;SENSITIVE_LEARNING;37,0000;10,0000;197,0000;67,0000;0,7872;0,3558;0,4901;0,8099;0,3560
BOOKKEEPER;2;39,65;33,44;NAIVEBAYES;NO_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;43,0000;11,0000;196,0000;61,0000;0,7963;0,4135;0,5443;0,7828;0,4093
BOOKKEEPER;2;39,65;33,44;NAIVEBAYES;NO_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;64,0000;17,0000;190,0000;40,0000;0,7901;0,6154;0,6919;0,7975;0,5643
BOOKKEEPER;2;39,65;33,44;NAIVEBAYES;NO_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;38,0000;9,0000;198,0000;66,0000;0,8085;0,3654;0,5033;0,6610;0,3727
BOOKKEEPER;2;39,65;33,44;NAIVEBAYES;NO_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;52,0000;14,0000;193,0000;52,0000;0,7879;0,5000;0,6118;0,7162;0,4756
BOOKKEEPER;2;39,65;33,44;NAIVEBAYES;NO_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;38,0000;9,0000;198,0000;66,0000;0,8085;0,3654;0,5033;0,7828;0,3727
BOOKKEEPER;2;39,65;33,44;NAIVEBAYES;NO_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;52,0000;14,0000;193,0000;52,0000;0,7879;0,5000;0,6118;0,7975;0,4756
BOOKKEEPER;2;39,65;33,44;NAIVEBAYES;OVER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;52,0000;17,0000;190,0000;52,0000;0,7536;0,5000;0,6012;0,7786;0,4561
BOOKKEEPER;2;39,65;33,44;NAIVEBAYES;OVER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;60,0000;16,0000;191,0000;44,0000;0,7895;0,5769;0,6667;0,8008;0,5355
BOOKKEEPER;2;39,65;33,44;NAIVEBAYES;OVER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;45,0000;11,0000;196,0000;59,0000;0,8036;0,4327;0,5625;0,6898;0,4288
BOOKKEEPER;2;39,65;33,44;NAIVEBAYES;OVER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;47,0000;12,0000;195,0000;57,0000;0,7966;0,4519;0,5767;0,6970;0,4415
BOOKKEEPER;2;39,65;33,44;NAIVEBAYES;OVER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;62,0000;31,0000;176,0000;42,0000;0,6667;0,5962;0,6294;0,7979;0,4585
BOOKKEEPER;2;39,65;33,44;NAIVEBAYES;OVER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;52,0000;13,0000;194,0000;52,0000;0,8000;0,5000;0,6154;0,8120;0,4822
BOOKKEEPER;2;39,65;33,44;NAIVEBAYES;UNDER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;44,0000;11,0000;196,0000;60,0000;0,8000;0,4231;0,5535;0,7827;0,4191
BOOKKEEPER;2;39,65;33,44;NAIVEBAYES;UNDER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;69,0000;19,0000;188,0000;35,0000;0,7841;0,6635;0,7188;0,8016;0,5944
BOOKKEEPER;2;39,65;33,44;NAIVEBAYES;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;39,0000;9,0000;198,0000;65,0000;0,8125;0,3750;0,5132;0,6658;0,3828
BOOKKEEPER;2;39,65;33,44;NAIVEBAYES;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;56,0000;14,0000;193,0000;48,0000;0,8000;0,5385;0,6437;0,7354;0,5125
BOOKKEEPER;2;39,65;33,44;NAIVEBAYES;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;59,0000;26,0000;181,0000;45,0000;0,6941;0,5673;0,6243;0,7954;0,4627
BOOKKEEPER;2;39,65;33,44;NAIVEBAYES;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;71,0000;47,0000;160,0000;33,0000;0,6017;0,6827;0,6396;0,7689;0,4409
BOOKKEEPER;2;39,65;33,44;NAIVEBAYES;SMOTE;NO_SELECTION;NO_COST_SENSITIVE;44,0000;11,0000;196,0000;60,0000;0,8000;0,4231;0,5535;0,7844;0,4191
BOOKKEEPER;2;39,65;33,44;NAIVEBAYES;SMOTE;BEST_FIRST;NO_COST_SENSITIVE;67,0000;18,0000;189,0000;37,0000;0,7882;0,6442;0,7090;0,8079;0,5838
BOOKKEEPER;2;39,65;33,44;NAIVEBAYES;SMOTE;NO_SELECTION;SENSITIVE_THRESHOLD;41,0000;10,0000;197,0000;63,0000;0,8039;0,3942;0,5290;0,6730;0,3961
BOOKKEEPER;2;39,65;33,44;NAIVEBAYES;SMOTE;BEST_FIRST;SENSITIVE_THRESHOLD;51,0000;14,0000;193,0000;53,0000;0,7846;0,4904;0,6036;0,7114;0,4663
BOOKKEEPER;2;39,65;33,44;NAIVEBAYES;SMOTE;NO_SELECTION;SENSITIVE_LEARNING;52,0000;18,0000;189,0000;52,0000;0,7429;0,5000;0,5977;0,7976;0,4496
BOOKKEEPER;2;39,65;33,44;NAIVEBAYES;SMOTE;BEST_FIRST;SENSITIVE_LEARNING;41,0000;10,0000;197,0000;63,0000;0,8039;0,3942;0,5290;0,8157;0,3961
BOOKKEEPER;2;39,65;33,44;IBK;NO_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;73,0000;57,0000;150,0000;31,0000;0,5615;0,7019;0,6239;0,7320;0,4016
BOOKKEEPER;2;39,65;33,44;IBK;NO_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;79,0000;58,0000;149,0000;25,0000;0,5766;0,7596;0,6556;0,7489;0,4443
BOOKKEEPER;2;39,65;33,44;IBK;NO_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;73,0000;57,0000;150,0000;31,0000;0,5615;0,7019;0,6239;0,7133;0,4016
BOOKKEEPER;2;39,65;33,44;IBK;NO_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;79,0000;58,0000;149,0000;25,0000;0,5766;0,7596;0,6556;0,7397;0,4443
BOOKKEEPER;2;39,65;33,44;IBK;NO_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;73,0000;57,0000;150,0000;31,0000;0,5615;0,7019;0,6239;0,7320;0,4016
BOOKKEEPER;2;39,65;33,44;IBK;NO_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;79,0000;58,0000;149,0000;25,0000;0,5766;0,7596;0,6556;0,7489;0,4443
BOOKKEEPER;2;39,65;33,44;IBK;OVER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;78,0000;75,0000;132,0000;26,0000;0,5098;0,7500;0,6070;0,7005;0,3470
