Version,Version Name,File Name,size,LOC Touched,NR,Atuthors Number,Churn,AVG Churn,MAX Churn,ChangeSetSize,MAX ChangeSetSize,AVG ChangeSetSize,Age,Defective
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java,18,45,1,1,45,45,45,281,281,281,35,false
0,release-4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigRegion.java,58,109,3,2,93,31,93,481,281,160,35,true
0,release-4.0.0,hedwig-server/src/test/java/org/apache/hedwig/client/TestPubSubClient.java,181,270,3,2,230,76,230,481,281,160,35,true
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java,178,329,3,2,227,75,226,549,281,183,35,false
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,41,41,3,2,41,13,41,513,281,171,35,false
0,release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,45,116,4,2,96,24,95,578,281,144,35,false
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java,25,60,2,2,60,30,60,452,281,226,35,false
0,release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java,41,76,2,2,74,37,74,452,281,226,35,false
0,release-4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/netty/TestPubSubServer.java,202,292,3,2,260,86,260,481,281,160,35,false
0,release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java,46,102,4,2,84,21,83,578,281,144,35,false
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,128,140,4,3,128,32,123,556,281,139,35,false
0,release-4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieReadWriteTest.java,17,17,1,1,17,17,17,35,35,35,0,true
0,release-4.0.0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java,14,41,2,2,41,20,41,452,281,226,35,false
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,15,29,4,2,15,3,14,610,281,152,35,false
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/ssl/SslServerContextFactory.java,24,53,1,1,53,53,53,281,281,281,35,false
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java,125,216,4,3,196,49,187,552,281,138,35,true
0,release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java,28,28,1,1,28,28,28,29,29,29,2,false
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java,12,91,2,2,91,45,91,452,281,226,35,false
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java,4,22,1,1,22,22,22,281,281,281,35,false
